text,label
mrt,ORG
SMRT,ORG
smrt,ORG
MRT,ORG
River Valley Road,MISC
Singapore,LOC
Nearest,ORG
Dhoby Gaunt,ORG
CC1/NE6/NS24,MISC
Fort Canning,ORG
Buddy,ORG
MRT,MISC
Day 0,MISC
to be,ORG
you,PER
think it,ORG
LOL,LOC
indian,MISC
Jurong East,LOC
NKF,ORG
City Harvest,ORG
Oxley,PER
Nassim Jade 1996,PER
christian,MISC
stealth,ORG
SGH,ORG
Ward,PER
AG,ORG
Faulty,MISC
Chinese,MISC
HK,ORG
India Riots,LOC
CNB,ORG
Storytel,ORG
Paya Lebar MRT,MISC
BOOKS,ORG
Russian,MISC
Buona Vista MRT,MISC
Give,ORG
CC,ORG
LOL,ORG
Bob Ross,PER
paya lebar mrt,LOC
CB,ORG
MRT Train,MISC
Lion King The Circle Of,ORG
Life Song,ORG
Lion King 1,ORG
Tuas Link MRT Station,LOC
Pasir Ris MRT Station,LOC
Lion King The Circle Of Life Song,ORG
The Circle Of Life Song,ORG
Ding Dong,PER
May,PER
Attention,ORG
Platform,ORG
Anjang,PER
Platfom,PER
Bukit Panjang MRT Station,LOC
LRT Station,ORG
East West Line,LOC
North South Line,LOC
Train Service Terminates,ORG
Next Stop,ORG
Tuas West Road,MISC
North South,LOC
Sentosa Train Line,ORG
Downtown Line,MISC
Bukit Panjang MRT Station and,ORG
Expo MRT Station,LOC
COVID,ORG
Singaporeans,MISC
elite,ORG
Russia,LOC
Ukraine,LOC
labour,ORG
the west,ORG
find it,ORG
Pfft,PER
Hahaha,PER
CCTV,ORG
IKEA,ORG
NS,ORG
NSmen,ORG
Queenstown,LOC
Kent Ridge MRT,LOC
Anthony Anton S,PER
Casey,PER
F&B,ORG
Sec 4,ORG
GP,ORG
hcp,ORG
HCPs,ORG
HCP,ORG
NCID,ORG
virus,PER
china,LOC
River Valley,LOC
Fort Canning MRT,LOC
UE Square,LOC
Anchorpoint Mall,MISC
ABC Market,ORG
Rochor,PER
cctv,ORG
Christian,MISC
Woodlands Mrt,LOC
ION,ORG
Lower Seletar Reservoir,ORG
Khatib Mrt,PER
Anton Casey,PER
Anthony Casey,PER
BART,ORG
Bay Area,LOC
NYC,ORG
Stadium MRT station,MISC
Library,ORG
heaven,ORG
Gtg,PER
macdonalds,ORG
WiFi,MISC
MRT stations,MISC
mrt/pushcart,ORG
Lakeside MRT,LOC
JE,PER
Michael Faye,PER
CIA,ORG
Lee Kuan Yew,PER
